CaseID,B3,ND2,B7_b,GH1,ppeducat,race_5cat,weight,weight_pop
3126,Much worse off,About the same,Poor,Neither own nor pay rent,No high school diploma or GED,White,0.9804,21436.6369
3127,Somewhat better off,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,0.855,18695.7299
3128,About the same,About the same,Only fair,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8653,18921.4246
3129,Somewhat worse off,About the same,Only fair,Pay rent,Bachelor's degree or higher,White,1.397,30547.111
3130,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1567,25291.9499
3131,Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.9423,20604.4999
3132,Somewhat worse off,Much lower,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8999,19677.1448
3133,About the same,About the same,Good,Pay rent,Bachelor's degree or higher,White,0.855,18695.7299
3134,About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8132,17782.6816
3136,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic,2.8695,62745.7
3138,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4125,9019.476
3139,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6467,14140.9356
3140,Somewhat better off,About the same,Good,Pay rent,Some college or Associate's degree,Black,0.8854,19359.601
3141,Much worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.9261,20250.2455
3142,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.7021,15353.2881
3143,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.963,21057.7269
3144,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8505,18596.2755
3145,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,Black,0.8461,18500.2584
3146,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8969,19612.475
3147,About the same,Somewhat higher,Good,Pay rent,Bachelor's degree or higher,White,0.5987,13090.7683
3148,Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9967,21793.3678
3149,Somewhat worse off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,1.8503,40459.8301
3150,About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6142,13431.1949
3151,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.7205,37620.1583
3152,About the same,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.4125,30885.9165
3153,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.397,30547.111
3154,Somewhat better off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White,0.5145,11250.5645
3155,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9226,20174.8978
3156,About the same,Much lower,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0708,23413.66
3157,About the same,Much lower,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,0.8872,19400.4698
3158,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8764,19162.689
3159,About the same,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,Black,0.5049,11041.1492
3160,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9097,19891.9709
3162,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1848,25906.9628
3163,About the same,Much higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic,1.8043,39454.2742
3164,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.7645,16715.8617
3165,About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.7775,17001.7715
3166,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6607,14447.0598
3167,About the same,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White,1.0008,21883.5087
3168,Somewhat worse off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7436,16258.6986
3169,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,1.2437,27194.7048
3170,Somewhat better off,Much higher,Poor,Pay rent,Bachelor's degree or higher,White,1.1881,25979.7551
3171,About the same,About the same,Good,Neither own nor pay rent,Some college or Associate's degree,Black,1.3733,30028.5788
3172,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.1148,24377.4595
3173,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,1.1032,24123.1849
3174,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8505,18596.2755
3175,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Other,1.0937,23914.466
3176,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.8303,18155.9675
3177,About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9187,20089.3827
3178,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6607,14447.0598
3179,About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6467,14140.9356
3180,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,0.9055,19799.3672
3181,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,Hispanic,0.7185,15710.3447
3182,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5328,11650.3249
3183,About the same,Much lower,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.2385,27081.7699
3184,Much better off,About the same,Excellent,Neither own nor pay rent,No high school diploma or GED,Hispanic,1.9129,41827.2065
3185,Somewhat better off,About the same,Only fair,Pay rent,Some college or Associate's degree,Hispanic,1.3887,30366.6798
3186,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.3259,28993.6131
3187,Much worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0572,23116.6365
3188,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6403,14001.9772
3189,Somewhat better off,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.8881,19419.7496
3190,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6078,13289.8954
3191,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.0544,23056.0422
3192,Much better off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.778,17011.7611
3193,About the same,Somewhat higher,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.8097,17704.7623
3194,Much better off,Somewhat lower,Only fair,Pay rent,No high school diploma or GED,White,0.5197,11363.5124
3195,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.604,13207.1118
3196,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.386,8441.2201
3197,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2564,27473.8328
3198,Much better off,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5725,12517.6437
3199,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.5715,34363.1907
3200,Somewhat worse off,Much higher,Poor,Own your home with a mortgage or loan,No high school diploma or GED,Other,2.4611,53815.2673
3201,About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8421,18413.5359
3202,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6902,15092.0511
3203,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,Black,1.0116,22120.083
3204,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,1.3828,30236.7592
3205,About the same,About the same,Poor,Pay rent,No high school diploma or GED,Asian,2.8411,62123.377
3206,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.094,23922.6348
3207,Much worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.0738,23479.7784
3208,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6467,14140.9356
3209,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5318,11627.4821
3210,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6467,14140.9356
3211,Somewhat better off,About the same,Good,Pay rent,No high school diploma or GED,White,1.9026,41603.9262
3212,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4911,10739.5377
3213,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2713,27797.8008
3214,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9226,20174.8978
3215,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.917,20051.2529
3216,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.523,11435.6574
3217,Somewhat worse off,Much higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,1.0314,22553.3166
3218,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4125,9019.476
3219,Much worse off,Much lower,Poor,Pay rent,No high school diploma or GED,Hispanic,2.629,57486.472
3220,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.2199,26674.9596
3221,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White,0.9432,20623.8073
3222,Much better off,About the same,Only fair,Pay rent,No high school diploma or GED,Hispanic,4.058,88732.6474
3223,About the same,About the same,Good,Pay rent,Some college or Associate's degree,Hispanic,1.5359,33584.0794
3224,Much worse off,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.673,14715.7153
3225,About the same,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White,0.5403,11814.17
3226,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Asian,1.3241,28952.7311
3227,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Black,1.195,26130.5262
3228,Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White,0.5725,12517.6437
3229,Much worse off,Somewhat higher,Poor,Pay rent,Some college or Associate's degree,Hispanic,0.9057,19805.2631
3230,Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9967,21793.3678
3231,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6031,13188.3671
3232,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.5179,11325.2852
3233,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.5293,33441.1782
3234,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,0.8484,18550.8361
3235,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3827,30234.5153
3236,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.0968,23982.9993
3237,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.7275,15908.6186
3238,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7653,16733.4566
3239,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White,0.4806,10509.691
3240,Much worse off,About the same,Only fair,Own your home with a mortgage or loan,No high school diploma or GED,Hispanic,1.4504,31715.1931
3241,About the same,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.2564,27473.8328
3242,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.6472,14152.9194
3243,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White,1.0589,23153.5532
3244,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,0.7951,17385.9704
3246,Somewhat worse off,Somewhat higher,Good,Pay rent,Some college or Associate's degree,White,0.5114,11182.6962
3247,Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.2194,26663.5322
3248,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4642,10151.1496
3249,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6054,13237.4213
3250,About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,0.7699,16834.7006
3251,Much worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.548,11981.7294
3252,Much better off,About the same,Only fair,Pay rent,Some college or Associate's degree,White,1.188,25978.1043
3253,Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.3942,30486.0082
3254,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4808,10512.3875
3255,Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.7026,15362.4809
3256,About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.7401,16183.5754
3257,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.0033,21938.1087
3258,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,1.0254,22420.6834
3259,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7382,16142.5632
3260,About the same,Somewhat lower,Only fair,Pay rent,No high school diploma or GED,White,1.2207,26693.2084
3261,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.6607,14447.0598
3262,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.8634,18880.3487
3263,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.9732,21279.8529
3264,Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6149,13445.0616
3265,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,1.0033,21938.1087
3266,About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White,1.0054,21983.5413
3267,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7263,15882.4633
3268,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,0.8613,18833.0177
3269,Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
3270,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4966,10857.7405
3271,Much better off,About the same,Only fair,Pay rent,No high school diploma or GED,Black,1.9266,42127.4653
3272,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White,0.8888,19435.5888
3273,About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5987,13090.7683
3274,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.1978,4324.8829
3275,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.3164,28784.3601
3276,About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7155,15644.4908
3277,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.9884,21612.2715
3278,Somewhat worse off,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,Hispanic,0.6461,14127.457
3279,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6913,15116.4069
3280,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7283,15926.0796
3281,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,1.4773,32302.2029
3282,Somewhat worse off,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,2.489,54425.301
3283,About the same,About the same,Poor,Pay rent,Some college or Associate's degree,White,1.0888,23808.1714
3284,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,0.7622,16667.5613
3285,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7155,15644.4908
3286,Much better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.5896,12892.2779
3287,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4713,10305.5614
3288,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian,0.8762,19158.899
3289,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.0833,23687.5548
3290,Somewhat worse off,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White,0.9284,20301.3285
3291,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.9075,19843.1937
3292,About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.3259,28993.6131
3293,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9226,20174.8978
3294,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8421,18412.8175
3295,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5015,10965.4948
3296,About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.6469,14146.183
3297,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.1925,26076.629
3298,About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.386,8441.2201
3299,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.4776,10442.4911
3300,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.8017,17530.7834
3301,Much better off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.6031,13188.3671
3302,About the same,Much higher,Only fair,Pay rent,Bachelor's degree or higher,Hispanic,1.3828,30236.7592
3303,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6913,15116.4069
3304,About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7089,15501.4887
3305,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.1677,3666.6386
3306,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6149,13445.0616
3307,Much better off,Much lower,Good,Neither own nor pay rent,Bachelor's degree or higher,White,0.7007,15320.8274
3308,About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,1.1954,26139.6599
3309,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,1.2564,27473.8328
3310,About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5781,12641.8712
3311,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5885,12868.1023
3312,Much worse off,About the same,Poor,Own your home with a mortgage or loan,No high school diploma or GED,White,0.926,20248.3299
3313,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,0.523,11435.6574
3314,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,0.764,16705.3888
3315,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.4168,9113.0359
3316,Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7899,17272.0782
3317,About the same,Much higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White,0.608,13294.827
3318,About the same,About the same,Good,Pay rent,No high school diploma or GED,Hispanic,1.7562,38402.088
3319,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.0423,22791.0437
3320,About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.892,19505.7713
3321,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.6364,13914.758
3322,Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.6797,14861.7569
3323,About the same,Much higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.1347,24810.7546
3324,About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White,0.7496,16389.9298
3325,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic,1.6892,36936.9117
3326,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.8915,19493.8887
3327,Somewhat better off,About the same,Good,Pay rent,Some college or Associate's degree,Asian,1.5918,34806.0151
3328,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,1.1832,25872.815
3329,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,0.6243,13652.0553
3330,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,1.3061,28559.1918
3331,Much worse off,Somewhat higher,Poor,Pay rent,Some college or Associate's degree,Black,0.6648,14537.3185
3332,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5987,13090.7683
3333,Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7018,15346.3465
3334,Much worse off,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Black,1.5042,32891.2537
3335,About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.5987,13090.7683
3336,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
3337,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5433,11881.0489
3338,Somewhat worse off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.7729,16899.5227
3339,About the same,Somewhat higher,Only fair,Neither own nor pay rent,Some college or Associate's degree,Black,0.8854,19359.601
3340,Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.7456,16302.7652
3341,Somewhat better off,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other,0.2914,6372.5699
3342,About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.9869,21579.2115
3343,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.4776,32309.7038
3344,Somewhat better off,About the same,Good,Pay rent,Bachelor's degree or higher,Black,0.5724,12515.8886
3345,About the same,Much higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic,0.9147,20001.8144
3346,Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White,1.0708,23413.66
3347,About the same,About the same,Only fair,Neither own nor pay rent,Some college or Associate's degree,Asian,3.858,84360.9241
3348,Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black,1.5643,34206.3435
3349,About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,0.7436,16258.6986
3350,Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.5749,12570.0952
3351,Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White,0.4776,10442.4911
3352,Much worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White,0.8513,18615.4748
3353,About the same,Somewhat higher,Good,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White,1.7012,37198.515
3354,About the same,Somewhat lower,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Asian,2.0139,44037.142
3355,About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,1.3828,30236.7592
3356,About the same,About the same,Good,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Black,4.058,88732.6474
3357,About the same,Much higher,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White,1.3061,28559.1918
3358,Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,0.6564,14353.9568
3359,About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic,0.6744,14747.2501
3360,About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian,1.7192,37592.4328
3361,About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic,1.0262,22438.3553
3362,About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),White,1.2961,28340.4706
3363,Somewhat better off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White,0.6403,14001.9772
3364,Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White,1.1259,24619.3862
3365,Much better off,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic,1.9906,43526.0575
3366,Somewhat worse off,Much lower,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Other,4.058,88732.6474
